body_type;maker;full_model;weight;driverange;price;model;type;consumption;battery;co2
suv;audi;e-tron 55 quattro 265 kw;2565;375;87023;e-tron;ev;22.6;83.6;0
hatchback;bmw;i3 120;1776;235;43197;i3;ev;15.2;42.2;0
sedan;hyundai;ioniq electric comfort 28 kwh 120 hp;1880;195;36790;ioniq electric;ev;14.4;28.0;0
suv;hyundai;kona electric comfort 64 kwh 204 hp;2170;449;42990;kona electric;ev;15.4;64.0;0
suv;jaguar;i-pace se;2133;380;92045;i-pace;ev;22.3;84.7;0
suv;kia;e-niro 64 kwh;2222;375;45510;e-niro;ev;17.1;64.0;0
hatchback;nissan;leaf e+ n-connecta;1580;230;40290;leaf e+;ev;16.5;38.0;0
hatchback;renault;zoe z.e 40 r90;1923;235;38100;zoe 40;ev;15.7;37.0;0
sedan;bmw;330i sedan;2060;None;49249;330i;gasoline;6.8;None;154
sedan;bmw;320d sedan;2085;None;43088;320d;diesel;6.1;None;138
wagon;hyundai;i30 wagon comfort 1.4 t-gdi 140 hp 7-dct ;1880;None;26390;i30;gasoline;6.2;None;140
wagon;hyundai;i30 wagon comfort 1.6 crdi 136 hp 7-dct ;1940;None;25190;i30;diesel;4.9;None;124
suv;hyundai;kona 1.6 t-gdi comfort 177 hp 7-dct-aut.;1835;None;27990;kona;gasoline;7.7;None;164
suv;kia;niro 1,6 gdi hybrid business premium dct;1930;None;33280;niro;gasoline;4.8;None;111
suv;nissan;qashqai dig-t 160 manual 6-spd. 2wd;1870;None;28201;qashqai;gasoline;7.0;None;159
sedan;skoda;octavia 1.5 tsi style businessline dsg autom.;1830;None;29109;octavia;gasoline;6;None;137
sedan;skoda;octavia 1.6 tdi style businessline dsg autom;1898;None;30723;octavia;diesel;5.1;None;134
suv;volvo;xc60 t5 awd momentum aut;2420;None;64782;xc60;gasoline;8.9;None;199
suv;volvo;xc60 d4 awd momentum aut;2420;None;55500;xc60;diesel;6.9;None;180
sedan;volkswagen;passat 1.5 tsi evo 7-spd dsg;1990;None;30390;passat;gasoline;6.7;None;153
sedan;volkswagen;passat 1.6 tdi scr;2040;None;33767;passat;diesel;5.4;None;142
sedan;tesla;model 3 long range dual motor;2147;475;60500;model 3;ev;15.6;74;0
sedan;tesla;model s long range dual motor;2515;500;86300;model s;ev;19;95;0
suv;tesla;model x long range dual motor;2759;450;91500;model x;ev;21.1;95;0
sedan;tesla;model 3 standard range;1900;340;45500;model 3;ev;14.7;50;0
